baseline,model,track,protocol,num_tasks,pass_at_1,pass_at_1_ci95,pass_at_3,pass_at_3_ci95,molecule_acceptance_rate,hard_violation_rate,hard_violation_rate_ci95,abstention_utility,abstention_utility_ci95,avg_steps_to_accept,avg_verify_calls_used,l3_avg_verify_calls_used,l3_avg_verify_calls_used_expected_accept,verify_usage_rate_on_L3,avg_final_edit_cost_brics,invariance_failure_rate,boundary_precision_failure_rate,resume_success_rate,avg_extra_steps_after_interrupt,brier_score,ece
verify_first,verify_first,tool_enabled,mixed,266,0.6089385474860335,"0.609 [0.537, 0.678]",0.9664804469273743,"0.966 [0.934, 0.989]",0.8458646616541353,0.15413533834586465,"0.154 [0.105, 0.199]",-567.0,"-567.000 [-697.000, -452.000]",1.369942196531792,0.3157894736842105,1,1,1.0,2.1578947368421053,0.0,0.0,1.0,1.0,0.328919336976595,0.3520735623726213
verifier_guided_greedy,verifier_guided_greedy,tool_enabled,mixed,266,0.46368715083798884,"0.464 [0.388, 0.529]",0.8491620111731844,"0.849 [0.799, 0.899]",0.6992481203007519,0.3007518796992481,"0.301 [0.244, 0.353]",-429.0,"-429.000 [-543.000, -333.000]",1.4539473684210527,0.3157894736842105,1,1,1.0,1.2105263157894737,0.0,0.045454545454545456,0.0,1.1818181818181819,0.21616541353383495,0.05939849624060225
