split,access_model,adapter,protocol,n_tasks,action_accuracy,balanced_action_accuracy,accept_precision,accept_recall,reject_precision,reject_recall,abstain_precision,abstain_recall,molecule_acceptance_rate,task_inconsistent_accept_rate,false_abstain_rate,hard_violation_rate,schema_error_rate,invalid_action_rate,invalid_molecule_rate,invalid_tool_call_rate,pass_at_1,pass_at_3,mean_steps,mean_proposals,mean_verify_calls,p95_verify_calls,budget_exhaustion_rate
train,closed-book,always_accept,mixed,260,0.5615384615384615,0.33057324840764335,0.7216494845360825,0.89171974522293,0.09090909090909091,0.1,,0.0,0.7461538461538462,0.5242718446601942,0.0,0.25384615384615383,0.0,0.0,0.0,0.0,0.89171974522293,0.89171974522293,1.1692307692307693,1.1615384615384616,0,0.0,0.25384615384615383
train,closed-book,always_reject,mixed,260,0.23076923076923078,0.3333333333333333,,0.0,0.23076923076923078,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9710610932475884,0.0,0.0,0.0,2.3923076923076922,2.3230769230769233,0,0.0,1.0
train,closed-book,always_abstain,mixed,260,0.16538461538461538,0.3333333333333333,,0.0,,0.0,0.16538461538461538,1.0,0.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,1,0,0,0.0,0.0
train,closed-book,random_action,mixed,260,0.36923076923076925,0.4020745897727086,1.0,0.2802547770700637,0.2925170068027211,0.7166666666666667,0.13043478260869565,0.20930232558139536,0.16923076923076924,0.0,0.2764976958525346,0.7696335078534031,0.0,0.0,0.583756345177665,0.0,0.2802547770700637,0.2802547770700637,1.7807692307692307,1.4615384615384615,0,0.0,0.5653846153846154
train,closed-book,schema_valid_dummy,mixed,260,0.5615384615384615,0.33057324840764335,0.7216494845360825,0.89171974522293,0.09090909090909091,0.1,,0.0,0.7461538461538462,0.5242718446601942,0.0,0.25384615384615383,0.0,0.0,0.0,0.0,0.89171974522293,0.89171974522293,1.1692307692307693,1.1615384615384616,0,0.0,0.25384615384615383
train,closed-book,heuristic,mixed,260,0.6884615384615385,0.5859872611464968,1.0,0.7579617834394905,0.4580152671755725,1.0,0.0,0.0,0.4576923076923077,0.0,0.04608294930875576,0.524,0.0,0.0,0.0,0.0,0.7579617834394905,0.7579617834394905,1.6384615384615384,1.5692307692307692,0,0.0,0.5038461538461538
train,closed-book,abstention_guard,mixed,260,0.6115384615384616,0.39249823071479123,0.7647058823529411,0.910828025477707,0.25396825396825395,0.26666666666666666,0.0,0.0,0.7192307692307692,0.42718446601941745,0.04608294930875576,0.252,0.0,0.0,0.0,0.0,0.7579617834394905,0.910828025477707,1.2961538461538462,1.2576923076923077,0,0.0,0.2423076923076923
train,closed-book,open_source_example,mixed,260,0.6884615384615385,0.5859872611464968,1.0,0.7579617834394905,0.4580152671755725,1.0,0.0,0.0,0.4576923076923077,0.0,0.04608294930875576,0.524,0.0,0.0,0.0,0.0,0.554140127388535,0.7579617834394905,1.7615384615384615,1.476923076923077,0.24615384615384617,1.0,0.5038461538461538
train,closed-book,local_mutation,mixed,260,0.5846153846153846,0.3227176220806794,0.7169811320754716,0.9681528662420382,0.0,0.0,,0.0,0.8153846153846154,0.5825242718446602,0.0,0.18461538461538463,0.0,0.0,0.0,0.0,0.9681528662420382,0.9681528662420382,1.0423076923076924,1.0423076923076924,0,0.0,0.18461538461538463
train,public-verifier,verify_first,mixed,260,0.5846153846153846,0.3227176220806794,0.7169811320754716,0.9681528662420382,0.0,0.0,,0.0,0.8153846153846154,0.5825242718446602,0.0,0.18461538461538463,0.0,0.0,0.0,0.0,0.6178343949044586,0.9681528662420382,1.3153846153846154,1.0307692307692307,0.2846153846153846,1.0,0.18461538461538463
train,public-verifier,verifier_guided_greedy,mixed,260,0.6384615384615384,0.4210898796886058,0.7849462365591398,0.9299363057324841,0.2702702702702703,0.3333333333333333,,0.0,0.7153846153846154,0.3883495145631068,0.0,0.2846153846153846,0.0,0.0,0.0,0.0,0.554140127388535,0.9299363057324841,1.5115384615384615,1.226923076923077,0.2846153846153846,1.0,0.2846153846153846
train,retrieval,corpus_search,mixed,260,0.6038461538461538,0.3333333333333333,0.7235023041474654,1.0,0.0,0.0,,0.0,0.8346153846153846,0.5825242718446602,0.0,0.16538461538461538,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,0.0,0.16538461538461538
train,verifier/search wrapper,well_engineered_wrapper,mixed,260,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6038461538461538,0.0,0.0,0.2764976958525346,0.0,0.0,0.0,0.0,0.7452229299363057,1.0,1.5538461538461539,1.1730769230769231,0.2153846153846154,1.0,0.23076923076923078
dev,closed-book,always_accept,mixed,130,0.5153846153846153,0.33364602876798,0.759493670886076,0.7317073170731707,0.13725490196078433,0.2692307692307692,,0.0,0.6076923076923076,0.3958333333333333,0.0,0.3923076923076923,0.0,0.0,0.0,0.0,0.7317073170731707,0.7317073170731707,1.3153846153846154,1.3,0,0.0,0.3923076923076923
dev,closed-book,always_reject,mixed,130,0.2,0.3333333333333333,,0.0,0.2,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9639344262295082,0.0,0.0,0.0,2.3461538461538463,2.2615384615384615,0,0.0,1.0
