expected_action,ACCEPT,REJECT,ABSTAIN,INVALID
ACCEPT,0.7988826815642458,0.2011173184357542,0.0,0.0
REJECT,0.8653846153846154,0.1346153846153846,0.0,0.0
ABSTAIN,0.0,1.0,0.0,0.0
