expected_action,ACCEPT,REJECT,ABSTAIN,INVALID
ACCEPT,0.8156424581005587,0.12290502793296089,0.061452513966480445,0.0
REJECT,0.6730769230769231,0.3269230769230769,0.0,0.0
ABSTAIN,0.0,1.0,0.0,0.0
