baseline,model,track,protocol,num_tasks,pass_at_1,pass_at_1_ci95,pass_at_3,pass_at_3_ci95,accept_rate,hard_violation_rate,hard_violation_rate_ci95,abstention_utility,abstention_utility_ci95,avg_steps_to_accept,avg_verify_calls_used,l3_avg_verify_calls_used,l3_avg_verify_calls_used_expected_accept,verify_usage_rate_on_L3,avg_final_edit_cost_brics,invariance_failure_rate,boundary_precision_failure_rate,resume_success_rate,avg_extra_steps_after_interrupt,brier_score,ece
heuristic,heuristic,closed_book,mixed,308,0.15467625899280577,"0.155 [0.113, 0.195]",0.15467625899280577,"0.155 [0.117, 0.196]",0.21428571428571427,0.7747440273037542,"0.775 [0.720, 0.820]",-692.0,"-692.000 [-768.000, -618.000]",1,0,0,0,0.0,0,0.23333333333333334,1.0,0.0,0.0,0.41548701298701135,0.6074675324675324
abstention_guard,abstention_guard,closed_book,mixed,308,0.12949640287769784,"0.129 [0.091, 0.168]",0.14388489208633093,"0.144 [0.103, 0.183]",0.17857142857142858,0.8122866894197952,"0.812 [0.765, 0.860]",-626.0,"-626.000 [-694.000, -559.000]",1.1,0,0,0,0.0,5.257383966244726,0.23333333333333334,1.0,0.0,0.0,0.20448863636363682,0.3680194805194818
verify_first,verify_first,closed_book,mixed,308,0.17266187050359713,"0.173 [0.126, 0.217]",0.30935251798561153,"0.309 [0.257, 0.361]",0.37662337662337664,0.6233766233766234,"0.623 [0.571, 0.675]",-684.0,"-684.000 [-770.000, -602.000]",1.441860465116279,0.6136363636363636,1,1,1.0,1.9325396825396826,0.23333333333333334,0.7058823529411765,0.2,1.8,0.3236016084316434,0.30810981886528305
local_mutation,local_mutation,closed_book,mixed,308,0.24820143884892087,"0.248 [0.196, 0.299]",0.30935251798561153,"0.309 [0.257, 0.361]",0.37662337662337664,0.6233766233766234,"0.623 [0.571, 0.675]",-684.0,"-684.000 [-770.000, -602.000]",1.244186046511628,0,0,0,0.0,1.9325396825396826,0.23333333333333334,0.7058823529411765,0.2,1.7333333333333334,0.3741883116883117,0.37337662337662336
corpus_search,corpus_search,retrieval,mixed,308,0.7589928057553957,"0.759 [0.709, 0.809]",0.7589928057553957,"0.759 [0.713, 0.807]",0.7824675324675324,0.21753246753246752,"0.218 [0.169, 0.263]",-434.0,"-434.000 [-538.000, -340.000]",1,0,0,0,0.0,3.0595238095238093,0.0,0.11764705882352941,0.9333333333333333,0.13333333333333333,0.17477272727272736,0.06753246753246411
