spec_family,baseline,track,num_tasks,accept_rate,hard_violation_rate,avg_spec_score
cns_like,heuristic,closed_book,75,0.26666666666666666,0.7183098591549296,0.32
cns_like,abstention_guard,closed_book,75,0.06666666666666667,0.9295774647887324,0.08
cns_like,verify_first,closed_book,75,0.44,0.56,0.528
cns_like,local_mutation,closed_book,75,0.44,0.56,0.528
cns_like,corpus_search,retrieval,75,0.8933333333333333,0.10666666666666667,1.0693333333333332
motif_aromatic,heuristic,closed_book,83,0.25301204819277107,0.7341772151898734,0.2891566265060241
motif_aromatic,abstention_guard,closed_book,83,0.25301204819277107,0.7341772151898734,0.2891566265060241
motif_aromatic,verify_first,closed_book,83,0.30120481927710846,0.6987951807228916,0.3373493975903614
motif_aromatic,local_mutation,closed_book,83,0.30120481927710846,0.6987951807228916,0.3373493975903614
motif_aromatic,corpus_search,retrieval,83,0.7349397590361446,0.26506024096385544,0.7349397590361446
ro5_balanced,heuristic,closed_book,73,0.0821917808219178,0.9130434782608695,0.09863013698630137
ro5_balanced,abstention_guard,closed_book,73,0.136986301369863,0.855072463768116,0.1643835616438356
ro5_balanced,verify_first,closed_book,73,0.3013698630136986,0.6986301369863014,0.35890410958904106
ro5_balanced,local_mutation,closed_book,73,0.3013698630136986,0.6986301369863014,0.35890410958904106
ro5_balanced,corpus_search,retrieval,73,0.821917808219178,0.1780821917808219,0.9671232876712328
sa_proxy,heuristic,closed_book,77,0.24675324675324675,0.7432432432432432,0.2623376623376623
sa_proxy,abstention_guard,closed_book,77,0.24675324675324675,0.7432432432432432,0.2623376623376623
sa_proxy,verify_first,closed_book,77,0.4675324675324675,0.5324675324675324,0.5324675324675324
sa_proxy,local_mutation,closed_book,77,0.4675324675324675,0.5324675324675324,0.5324675324675324
sa_proxy,corpus_search,retrieval,77,0.6883116883116883,0.3116883116883117,0.7740259740259741
