system,access_model,action_accuracy,molecule_acceptance_rate,task_inconsistent_accept_rate,reject_recall,abstain_recall,schema_error_rate,mean_verify_calls
always_accept,closed-book,0.5639097744360902,0.706766917293233,0.5172413793103449,0.1346153846153846,0.0,0.0,0
always_abstain,closed-book,0.13157894736842105,0.0,0.0,0.0,1.0,0.0,0
heuristic,closed-book,0.6015037593984962,0.40601503759398494,0.0,1.0,0.0,0.0,0
abstention_guard,closed-book,0.6127819548872181,0.6804511278195489,0.40229885057471265,0.3269230769230769,0.0,0.0,0
local_mutation,closed-book,0.650375939849624,0.8458646616541353,0.5977011494252874,0.0,0.0,0.0,0
verify_first,public-verifier,0.650375939849624,0.8458646616541353,0.5977011494252874,0.0,0.0,0.0,0.3157894736842105
corpus_search,retrieval,0.6729323308270677,0.868421052631579,0.5977011494252874,0.0,0.0,0.0,0
well_engineered_wrapper,verifier/search wrapper,1.0,0.6729323308270677,0.0,1.0,1.0,0.0,0.2631578947368421
