system,provider,model_id,interface_tier,provider_feature,schema_hash,n_tasks,action_accuracy,molecule_acceptance_rate,task_inconsistent_accept_rate,accept_recall,reject_recall,abstain_recall,invalid_rate,task_schema_error_rate,hard_violation_rate,mean_verify_calls,cache_steps,interface_error_steps,interface_error_step_rate,empty_raw_steps,empty_raw_step_rate,interface_error_types
openai_strong_strict-tool-call_closed,openai,gpt-5.1,strict-tool-call,chat.completions.tools.function.strict,528a3e3066b73549cea1c26559e85aa63973c0eafe9d037e30869cad617a036d,10,1.0,0.7,0.0,1.0,1.0,1.0,0.0,0.0,0.2222222222222222,0.2,17,0,0.0,0,0.0,{}
openai_strong_strict-tool-call_verify_l3,openai,gpt-5.1,strict-tool-call,chat.completions.tools.function.strict,528a3e3066b73549cea1c26559e85aa63973c0eafe9d037e30869cad617a036d,10,0.7,0.4,0.0,0.5714285714285714,1.0,1.0,0.0,0.0,0.5555555555555556,0.6,19,0,0.0,0,0.0,{}
anthropic_fast_strict-tool-call_closed,anthropic,claude-haiku-4-5-20251001,strict-tool-call,messages.tools.input_schema.forced_tool_choice,528a3e3066b73549cea1c26559e85aa63973c0eafe9d037e30869cad617a036d,10,0.6,0.3,0.0,0.42857142857142855,1.0,1.0,0.0,0.0,0.6666666666666666,0.7,20,0,0.0,0,0.0,{}
anthropic_fast_strict-tool-call_verify_l3,anthropic,claude-haiku-4-5-20251001,strict-tool-call,messages.tools.input_schema.forced_tool_choice,528a3e3066b73549cea1c26559e85aa63973c0eafe9d037e30869cad617a036d,10,0.6,0.3,0.0,0.42857142857142855,1.0,1.0,0.0,0.0,0.6666666666666666,0.7,20,0,0.0,0,0.0,{}
anthropic_strong_strict-tool-call_closed,anthropic,claude-sonnet-4-20250514,strict-tool-call,messages.tools.input_schema.forced_tool_choice,528a3e3066b73549cea1c26559e85aa63973c0eafe9d037e30869cad617a036d,10,0.7,0.4,0.0,0.5714285714285714,1.0,1.0,0.0,0.0,0.5,0.5,19,0,0.0,0,0.0,{}
anthropic_strong_strict-tool-call_verify_l3,anthropic,claude-sonnet-4-20250514,strict-tool-call,messages.tools.input_schema.forced_tool_choice,528a3e3066b73549cea1c26559e85aa63973c0eafe9d037e30869cad617a036d,10,0.7,0.4,0.0,0.5714285714285714,1.0,1.0,0.0,0.0,0.5,0.5,19,0,0.0,0,0.0,{}
deepseek_fast_strict-tool-call_closed,deepseek,deepseek-chat,strict-tool-call,chat.completions.tools.function.strict,528a3e3066b73549cea1c26559e85aa63973c0eafe9d037e30869cad617a036d,10,0.7,0.4,0.0,0.5714285714285714,1.0,1.0,0.0,0.0,0.5,0.5,20,0,0.0,0,0.0,{}
deepseek_fast_strict-tool-call_verify_l3,deepseek,deepseek-chat,strict-tool-call,chat.completions.tools.function.strict,528a3e3066b73549cea1c26559e85aa63973c0eafe9d037e30869cad617a036d,10,0.7,0.4,0.0,0.5714285714285714,1.0,1.0,0.0,0.0,0.5555555555555556,0.7,19,0,0.0,0,0.0,{}
