split,access_model,adapter,protocol,n_tasks,action_accuracy,balanced_action_accuracy,accept_precision,accept_recall,reject_precision,reject_recall,abstain_precision,abstain_recall,molecule_acceptance_rate,task_inconsistent_accept_rate,false_abstain_rate,hard_violation_rate,schema_error_rate,invalid_action_rate,invalid_molecule_rate,invalid_tool_call_rate,pass_at_1,pass_at_3,mean_steps,mean_proposals,mean_verify_calls,p95_verify_calls,budget_exhaustion_rate
test,closed-book,always_accept,mixed,266,0.5639097744360902,0.3111660220598768,0.7606382978723404,0.7988826815642458,0.08974358974358974,0.1346153846153846,,0.0,0.706766917293233,0.5172413793103449,0.0,0.2932330827067669,0.0,0.0,0.0,0.0,0.7988826815642458,0.7988826815642458,1.3345864661654134,1.3195488721804511,0,0.0,0.2932330827067669
test,closed-book,always_reject,mixed,266,0.19548872180451127,0.3333333333333333,,0.0,0.19548872180451127,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.963855421686747,0.0,0.0,0.0,2.4962406015037595,2.406015037593985,0,0.0,1.0
test,closed-book,always_abstain,mixed,266,0.13157894736842105,0.3333333333333333,,0.0,,0.0,0.13157894736842105,1.0,0.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,1,0,0,0.0,0.0
test,closed-book,random_action,mixed,266,0.30451127819548873,0.36365133934966337,1.0,0.21787709497206703,0.23026315789473684,0.6730769230769231,0.09333333333333334,0.2,0.14661654135338345,0.0,0.2943722943722944,0.7958115183246073,0.0,0.0,0.5858823529411765,0.0,0.21787709497206703,0.21787709497206703,1.8796992481203008,1.5263157894736843,0,0.0,0.5714285714285714
test,closed-book,schema_valid_dummy,mixed,266,0.5639097744360902,0.3111660220598768,0.7606382978723404,0.7988826815642458,0.08974358974358974,0.1346153846153846,,0.0,0.706766917293233,0.5172413793103449,0.0,0.2932330827067669,0.0,0.0,0.0,0.0,0.7988826815642458,0.7988826815642458,1.3345864661654134,1.3195488721804511,0,0.0,0.2932330827067669
test,closed-book,heuristic,mixed,266,0.6015037593984962,0.5344506517690876,1.0,0.6033519553072626,0.35374149659863946,1.0,0.0,0.0,0.40601503759398494,0.0,0.047619047619047616,0.5764705882352941,0.0,0.0,0.0,0.0,0.6033519553072626,0.6033519553072626,1.8609022556390977,1.7706766917293233,0,0.0,0.5526315789473685
test,closed-book,abstention_guard,mixed,266,0.6127819548872181,0.38085517834121185,0.8066298342541437,0.8156424581005587,0.22972972972972974,0.3269230769230769,0.0,0.0,0.6804511278195489,0.40229885057471265,0.047619047619047616,0.2901960784313726,0.0,0.0,0.0,0.0,0.5810055865921788,0.8156424581005587,1.5225563909774436,1.4774436090225564,0,0.0,0.2781954887218045
test,closed-book,open_source_example,mixed,266,0.6015037593984962,0.5344506517690876,1.0,0.6033519553072626,0.35374149659863946,1.0,0.0,0.0,0.40601503759398494,0.0,0.047619047619047616,0.5764705882352941,0.0,0.0,0.0,0.0,0.46368715083798884,0.6033519553072626,1.9548872180451127,1.6390977443609023,0.2744360902255639,1.0,0.5526315789473685
test,closed-book,local_mutation,mixed,266,0.650375939849624,0.3221601489757914,0.7688888888888888,0.9664804469273743,0.0,0.0,,0.0,0.8458646616541353,0.5977011494252874,0.0,0.15413533834586465,0.0,0.0,0.0,0.0,0.9664804469273743,0.9664804469273743,1.0676691729323309,1.0676691729323309,0,0.0,0.15413533834586465
test,public-verifier,verify_first,mixed,266,0.650375939849624,0.3221601489757914,0.7688888888888888,0.9664804469273743,0.0,0.0,,0.0,0.8458646616541353,0.5977011494252874,0.0,0.15413533834586465,0.0,0.0,0.0,0.0,0.6089385474860335,0.9664804469273743,1.3609022556390977,1.0451127819548873,0.3157894736842105,1.0,0.15413533834586465
test,public-verifier,verifier_guided_greedy,mixed,266,0.6390977443609023,0.3984386191090102,0.8172043010752689,0.8491620111731844,0.225,0.34615384615384615,,0.0,0.6992481203007519,0.39080459770114945,0.0,0.3007518796992481,0.0,0.0,0.0,0.0,0.46368715083798884,0.8491620111731844,1.6766917293233083,1.3609022556390977,0.3157894736842105,1.0,0.3007518796992481
test,retrieval,corpus_search,mixed,266,0.6729323308270677,0.3333333333333333,0.7748917748917749,1.0,0.0,0.0,,0.0,0.868421052631579,0.5977011494252874,0.0,0.13157894736842105,0.0,0.0,0.0,0.0,1.0,1.0,1,1,0,0.0,0.13157894736842105
test,verifier/search wrapper,well_engineered_wrapper,mixed,266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6729323308270677,0.0,0.0,0.22510822510822512,0.0,0.0,0.0,0.0,0.6871508379888268,1.0,1.556390977443609,1.1616541353383458,0.2631578947368421,1.0,0.19548872180451127
test,verifier/search wrapper,wrapper_full,mixed,266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6729323308270677,0.0,0.0,0.22510822510822512,0.0,0.0,0.0,0.0,0.6871508379888268,1.0,1.556390977443609,1.1616541353383458,0.2631578947368421,1.0,0.19548872180451127
test,verifier/search wrapper,wrapper_no_public_candidate_search,mixed,266,0.9774436090225563,0.9888268156424581,1.0,0.9664804469273743,1.0,1.0,0.8536585365853658,1.0,0.650375939849624,0.0,0.025974025974025976,0.2311111111111111,0.0,0.0,0.0,0.0,0.6815642458100558,0.9664804469273743,1.556390977443609,1.1390977443609023,0.2631578947368421,1.0,0.19548872180451127
