system,provider,model_id,interface_tier,provider_feature,schema_hash,n_tasks,action_accuracy,molecule_acceptance_rate,task_inconsistent_accept_rate,accept_recall,reject_recall,abstain_recall,invalid_rate,task_schema_error_rate,hard_violation_rate,mean_verify_calls,cache_steps,interface_error_steps,interface_error_step_rate,empty_raw_steps,empty_raw_step_rate,interface_error_types
openai_strong_strict-tool-call_closed,openai,gpt-5.1,strict-tool-call,chat.completions.tools.function.strict,528a3e3066b73549cea1c26559e85aa63973c0eafe9d037e30869cad617a036d,266,0.8834586466165414,0.556390977443609,0.0,0.8268156424581006,1.0,1.0,0.0,0.0,0.3537117903930131,0.22932330827067668,474,0,0.0,0,0.0,{}
openai_strong_strict-tool-call_verify_l3,openai,gpt-5.1,strict-tool-call,chat.completions.tools.function.strict,528a3e3066b73549cea1c26559e85aa63973c0eafe9d037e30869cad617a036d,266,0.8308270676691729,0.5037593984962406,0.0,0.7486033519553073,1.0,1.0,0.0,0.0,0.4199134199134199,0.6090225563909775,512,0,0.0,0,0.0,{}
anthropic_fast_strict-tool-call_closed,anthropic,claude-haiku-4-5-20251001,strict-tool-call,messages.tools.input_schema.forced_tool_choice,528a3e3066b73549cea1c26559e85aa63973c0eafe9d037e30869cad617a036d,266,0.8007518796992481,0.47368421052631576,0.0,0.7039106145251397,1.0,1.0,0.0,0.0,0.45454545454545453,0.5639097744360902,493,0,0.0,0,0.0,{}
anthropic_fast_strict-tool-call_verify_l3,anthropic,claude-haiku-4-5-20251001,strict-tool-call,messages.tools.input_schema.forced_tool_choice,528a3e3066b73549cea1c26559e85aa63973c0eafe9d037e30869cad617a036d,266,0.7481203007518797,0.42105263157894735,0.0,0.6256983240223464,1.0,1.0,0.0,0.0,0.5151515151515151,0.6578947368421053,517,0,0.0,0,0.0,{}
anthropic_strong_strict-tool-call_closed,anthropic,claude-sonnet-4-20250514,strict-tool-call,messages.tools.input_schema.forced_tool_choice,528a3e3066b73549cea1c26559e85aa63973c0eafe9d037e30869cad617a036d,266,0.8383458646616542,0.5112781954887218,0.0,0.7597765363128491,1.0,1.0,0.0,0.0,0.32673267326732675,0.4473684210526316,478,0,0.0,0,0.0,{}
anthropic_strong_strict-tool-call_verify_l3,anthropic,claude-sonnet-4-20250514,strict-tool-call,messages.tools.input_schema.forced_tool_choice,528a3e3066b73549cea1c26559e85aa63973c0eafe9d037e30869cad617a036d,266,0.7631578947368421,0.43609022556390975,0.0,0.6480446927374302,1.0,1.0,0.0,0.0,0.42,0.49624060150375937,486,0,0.0,0,0.0,{}
deepseek_fast_strict-tool-call_closed,deepseek,deepseek-chat,strict-tool-call,chat.completions.tools.function.strict,528a3e3066b73549cea1c26559e85aa63973c0eafe9d037e30869cad617a036d,266,0.8082706766917294,0.48120300751879697,0.0,0.7150837988826816,1.0,1.0,0.0,0.0,0.3875598086124402,0.45864661654135336,486,0,0.0,0,0.0,{}
deepseek_fast_strict-tool-call_verify_l3,deepseek,deepseek-chat,strict-tool-call,chat.completions.tools.function.strict,528a3e3066b73549cea1c26559e85aa63973c0eafe9d037e30869cad617a036d,266,0.7030075187969925,0.37593984962406013,0.0,0.5586592178770949,1.0,1.0,0.0,0.0,0.5391705069124424,0.7293233082706767,522,0,0.0,0,0.0,{}
