system,provider,model_id,interface_tier,provider_feature,schema_hash,n_tasks,action_accuracy,molecule_acceptance_rate,task_inconsistent_accept_rate,accept_recall,reject_recall,abstain_recall,invalid_rate,task_schema_error_rate,hard_violation_rate,mean_verify_calls,cache_steps,interface_error_steps,interface_error_step_rate,empty_raw_steps,empty_raw_step_rate,interface_error_types
openai_strong_strict-tool-call_closed,openai,gpt-5.1,strict-tool-call,chat.completions.tools.function.strict,528a3e3066b73549cea1c26559e85aa63973c0eafe9d037e30869cad617a036d,80,0.8375,0.625,0.0,0.7936507936507936,1.0,1.0,0.0,0.0,0.2537313432835821,0.275,136,0,0.0,0,0.0,{}
openai_strong_strict-tool-call_verify_l3,openai,gpt-5.1,strict-tool-call,chat.completions.tools.function.strict,528a3e3066b73549cea1c26559e85aa63973c0eafe9d037e30869cad617a036d,80,0.7375,0.525,0.0,0.6666666666666666,1.0,1.0,0.0,0.0,0.4166666666666667,0.7875,159,0,0.0,0,0.0,{}
anthropic_fast_strict-tool-call_closed,anthropic,claude-haiku-4-5-20251001,strict-tool-call,messages.tools.input_schema.forced_tool_choice,528a3e3066b73549cea1c26559e85aa63973c0eafe9d037e30869cad617a036d,80,0.675,0.4625,0.0,0.5873015873015873,1.0,1.0,0.0,0.0,0.4861111111111111,0.7375,150,0,0.0,0,0.0,{}
anthropic_fast_strict-tool-call_verify_l3,anthropic,claude-haiku-4-5-20251001,strict-tool-call,messages.tools.input_schema.forced_tool_choice,528a3e3066b73549cea1c26559e85aa63973c0eafe9d037e30869cad617a036d,80,0.625,0.4125,0.0,0.5238095238095238,1.0,1.0,0.0,0.0,0.5416666666666666,0.8125,155,0,0.0,0,0.0,{}
anthropic_strong_strict-tool-call_closed,anthropic,claude-sonnet-4-20250514,strict-tool-call,messages.tools.input_schema.forced_tool_choice,528a3e3066b73549cea1c26559e85aa63973c0eafe9d037e30869cad617a036d,80,0.7875,0.575,0.0,0.7301587301587301,1.0,1.0,0.0,0.0,0.25806451612903225,0.6,149,0,0.0,0,0.0,{}
anthropic_strong_strict-tool-call_verify_l3,anthropic,claude-sonnet-4-20250514,strict-tool-call,messages.tools.input_schema.forced_tool_choice,528a3e3066b73549cea1c26559e85aa63973c0eafe9d037e30869cad617a036d,80,0.6375,0.425,0.0,0.5396825396825397,1.0,1.0,0.0,0.0,0.45161290322580644,0.6125,147,0,0.0,0,0.0,{}
deepseek_fast_strict-tool-call_closed,deepseek,deepseek-chat,strict-tool-call,chat.completions.tools.function.strict,528a3e3066b73549cea1c26559e85aa63973c0eafe9d037e30869cad617a036d,80,0.7625,0.55,0.0,0.6984126984126984,1.0,1.0,0.0,0.0,0.3230769230769231,0.5875,151,0,0.0,0,0.0,{}
deepseek_fast_strict-tool-call_verify_l3,deepseek,deepseek-chat,strict-tool-call,chat.completions.tools.function.strict,528a3e3066b73549cea1c26559e85aa63973c0eafe9d037e30869cad617a036d,80,0.5625,0.35,0.0,0.4444444444444444,1.0,1.0,0.0,0.0,0.5757575757575758,0.9125,159,0,0.0,0,0.0,{}
